Mes,Temperatura
1,29.30
2,29.70
3,29.55
4,30.00
5,30.15
6,28.65
7,28.20
8,28.80
9,27.75
10,27.70
11,27.60
12,27.90
13,28.35
14,29.10
15,28.95
16,29.40
17,29.90
18,29.70
19,30.10
20,28.05
21,28.20
22,27.00
23,26.85
24,27.75
25,28.80
26,29.40
27,29.25
28,29.85
29,28.80
30,30.45
31,29.50
32,28.80
33,29.40
34,28.05
35,29.25
36,29.80
37,29.25
38,29.40
39,28.95
40,28.75
41,28.25
42,28.05
43,28.35
44,30.10
45,28.80
46,28.65
47,28.95
48,29.55
49,29.85
50,29.55
51,29.25
52,30.15
53,30.45
54,29.70
55,30.30
56,30.00
57,28.95
58,28.50
59,28.65
60,28.95
61,29.40
62,29.55
63,29.25
64,29.85
65,30.00
66,30.75
67,29.90
68,30.60
69,30.15
70,29.55
71,29.70
72,30.75
73,30.75
74,30.00
75,30.15
76,30.00
77,30.70
78,29.85
79,28.80
80,29.25
81,29.55
82,27.75
83,28.80
84,28.95
85,28.95
86,29.85
87,28.35
88,29.70
89,28.95
90,29.40
91,29.55
92,29.70
93,28.95
94,29.95
95,27.75
96,28.65
97,29.85
98,29.10
99,29.55
100,29.70
101,29.55
102,28.50
103,27.75
104,28.20
105,28.80
106,29.10
107,30.15
108,29.55
109,29.25
110,29.55
111,29.25
112,30.00
113,28.65
114,28.95
115,28.85
116,28.95
117,30.45
118,27.50
119,29.25
120,29.00
121,29.70
122,29.85
123,28.95
124,29.85
125,29.55
126,28.95
127,28.00
